territory_id,territory_name,rail_year,rail_km_total,rail_km_high_speed,rail_km_other
04,Illes Balears,1863,0.0,0.0,0.0
05,Canarias,1863,0.0,0.0,0.0
06,Cantabria,1863,82.55862284559726,0.0,82.55862284559726
07,Castilla y León,1863,654.3925712697544,0.0,654.3925712697544
08,Castilla-La Mancha,1863,588.9886483068741,0.0,588.9886483068741
09,Cataluña,1863,467.55539525425684,0.0,467.55539525425684
10,Comunitat Valenciana,1863,263.07987762524357,0.0,263.07987762524357
11,Extremadura,1863,10.994140676272046,0.0,10.994140676272046
12,Galicia,1863,0.0,0.0,0.0
13,Comunidad de Madrid,1863,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1863,61.95007853562866,0.0,61.95007853562866
15,Comunidad Foral de Navarra,1863,149.4307457730538,0.0,149.4307457730538
16,País Vasco,1863,211.33016437355144,0.0,211.33016437355144
17,La Rioja,1863,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1863,0.0,0.0,0.0
19,Melilla,1863,0.0,0.0,0.0
01,Andalucía,1864,397.271673281693,0.0,397.271673281693
02,Aragón,1864,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1864,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1864,0.0,0.0,0.0
05,Canarias,1864,0.0,0.0,0.0
06,Cantabria,1864,82.55862284559726,0.0,82.55862284559726
07,Castilla y León,1864,752.7669006638823,0.0,752.7669006638823
08,Castilla-La Mancha,1864,707.5473396577214,0.0,707.5473396577214
09,Cataluña,1864,467.55539525425684,0.0,467.55539525425684
10,Comunitat Valenciana,1864,299.3464572174526,0.0,299.3464572174526
11,Extremadura,1864,51.39848273865354,0.0,51.39848273865354
12,Galicia,1864,0.0,0.0,0.0
13,Comunidad de Madrid,1864,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1864,119.99987899917765,0.0,119.99987899917765
15,Comunidad Foral de Navarra,1864,163.6893347006593,0.0,163.6893347006593
16,País Vasco,1864,242.89026785244033,0.0,242.89026785244033
17,La Rioja,1864,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1864,0.0,0.0,0.0
19,Melilla,1864,0.0,0.0,0.0
01,Andalucía,1865,528.0910190518113,0.0,528.0910190518113
02,Aragón,1865,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1865,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1865,0.0,0.0,0.0
05,Canarias,1865,0.0,0.0,0.0
06,Cantabria,1865,82.55862284559726,0.0,82.55862284559726
07,Castilla y León,1865,752.7669006638823,0.0,752.7669006638823
08,Castilla-La Mancha,1865,766.648270696013,0.0,766.648270696013
09,Cataluña,1865,642.5871419944322,0.0,642.5871419944322
10,Comunitat Valenciana,1865,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1865,129.7831803306728,0.0,129.7831803306728
12,Galicia,1865,0.0,0.0,0.0
13,Comunidad de Madrid,1865,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1865,139.6321495321365,0.0,139.6321495321365
15,Comunidad Foral de Navarra,1865,188.83433846896992,0.0,188.83433846896992
16,País Vasco,1865,249.61933441661634,0.0,249.61933441661634
17,La Rioja,1865,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1865,0.0,0.0,0.0
19,Melilla,1865,0.0,0.0,0.0
01,Andalucía,1866,751.5503997489541,0.0,751.5503997489541
02,Aragón,1866,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1866,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1866,0.0,0.0,0.0
05,Canarias,1866,0.0,0.0,0.0
06,Cantabria,1866,101.84279507387967,0.0,101.84279507387967
07,Castilla y León,1866,799.4374506324365,0.0,799.4374506324365
08,Castilla-La Mancha,1866,819.3253668439464,0.0,819.3253668439464
09,Cataluña,1866,642.5871419944322,0.0,642.5871419944322
10,Comunitat Valenciana,1866,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1866,206.41018489690347,0.0,206.41018489690347
12,Galicia,1866,0.0,0.0,0.0
13,Comunidad de Madrid,1866,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1866,139.6321495321365,0.0,139.6321495321365
15,Comunidad Foral de Navarra,1866,188.83433846896992,0.0,188.83433846896992
16,País Vasco,1866,249.61933441661634,0.0,249.61933441661634
17,La Rioja,1866,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1866,0.0,0.0,0.0
19,Melilla,1866,0.0,0.0,0.0
01,Andalucía,1867,751.5503997489541,0.0,751.5503997489541
02,Aragón,1867,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1867,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1867,0.0,0.0,0.0
05,Canarias,1867,0.0,0.0,0.0
06,Cantabria,1867,101.84279507387967,0.0,101.84279507387967
07,Castilla y León,1867,799.4374506324365,0.0,799.4374506324365
08,Castilla-La Mancha,1867,819.3253668439464,0.0,819.3253668439464
09,Cataluña,1867,660.8422561818862,0.0,660.8422561818862
10,Comunitat Valenciana,1867,371.41341103904807,0.0,371.41341103904807
11,Extremadura,1867,206.41018489690347,0.0,206.41018489690347
12,Galicia,1867,0.0,0.0,0.0
13,Comunidad de Madrid,1867,184.56789670791574,0.0,184.56789670791574
14,Región de Murcia,1867,139.6321495321365,0.0,139.6321495321365
15,Comunidad Foral de Navarra,1867,188.83433846896992,0.0,188.83433846896992
16,País Vasco,1867,249.61933441661634,0.0,249.61933441661634
17,La Rioja,1867,115.69415766275554,0.0,115.69415766275554
18,Ceuta,1867,0.0,0.0,0.0
19,Melilla,1867,0.0,0.0,0.0
01,Andalucía,1868,839.2538784969323,0.0,839.2538784969323
02,Aragón,1868,351.3481668249649,0.0,351.3481668249649
03,Principado de Asturias,1868,41.08690874449524,0.0,41.08690874449524
04,Illes Balears,1868,0.0,0.0,0.0
05,Canarias,1868,0.0,0.0,0.0
06,Cantabria,1868,101.84279507387967,0.0,101.84279507387967
07,Castilla y León,1868,860.9274688144726,0.0,860.9274688144726
